,left_out_strain,hidden_dim,basal_dim,weight_decay_ae,weight_decay_p,weight_decay_c,lr_ae,lr_p,lr_c,lam,batch_size,num_epochs,r2_x,r2_p,acc_c,r2_dp,acc_dc
lso_0009,pTACmin,128,7,6.025225731865453e-07,7.292128496281303e-08,0.0,2.0377241889676667,1.2454558716496522,1.0,0.0015455720996183126,64,1000,0.5456609272844748,0.6185292436500891,1.0,-1.012991019671043,0.8942307692307693
lso_0009,wild-type,128,7,6.025225731865453e-07,7.292128496281303e-08,0.0,2.0377241889676667,1.2454558716496522,1.0,0.0015455720996183126,64,1000,0.410922714406207,0.7445956519302324,1.0,0.041377229135667916,0.09615384615384616
lso_0009,NAND_Circuit,128,7,6.025225731865453e-07,7.292128496281303e-08,0.0,2.0377241889676667,1.2454558716496522,1.0,0.0015455720996183126,64,1000,0.4106175517747266,0.42780565318435176,1.0,-2.230497320042892,0.8878504672897196
lso_0009,pJ2007_PhlF,128,7,6.025225731865453e-07,7.292128496281303e-08,0.0,2.0377241889676667,1.2454558716496522,1.0,0.0015455720996183126,64,1000,0.7647098063024791,0.7172604899070386,1.0,-20.71141084046467,0.08490566037735849
lso_0009,IcaR_Gate,128,7,6.025225731865453e-07,7.292128496281303e-08,0.0,2.0377241889676667,1.2454558716496522,1.0,0.0015455720996183126,64,1000,-48.939301451566905,-0.3240655512911913,1.0,-2.932476494767519,0.9727272727272728
lso_0010,pBADmin,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,0.5711860780687786,0.6400778313657517,1.0,-1.6428733550784413,0.8584905660377359
lso_0010,pJ2007_IcaR,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,0.25361572714544095,0.25900647038576013,1.0,-88.72656397914989,0.1651376146788991
lso_0010,landing_pads,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,0.7552340938872457,0.9096432902763435,1.0,-1.0238319222214594,0.9223300970873787
lso_0010,PhlF_Gate,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,0.5158083362932712,0.611472140769849,1.0,-2.663670565976623,0.8981481481481481
lso_0010,pTACmin,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,-58.83248226654249,0.6254600277454,1.0,-0.9872311920609694,1.0
lso_0010,wild-type,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,-39.02554550503663,0.9143095999716645,1.0,0.1104925402038952,0.125
lso_0010,NAND_Circuit,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,-46.44007971156361,0.5943800628003371,1.0,-2.5995649221120822,0.8598130841121495
lso_0010,pJ2007_PhlF,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,-13.380128806516003,0.6642888296327328,1.0,-16.933268833782993,0.32075471698113206
lso_0010,IcaR_Gate,128,8,1.964090639048255e-07,2.1487787576092765e-07,0.0,2.0172417330360513,1.3133550280679442,1.0,0.0006848248475350735,64,1000,-51.97915702302595,0.450774862518301,1.0,-3.463056287182928,0.8909090909090909
lso_0011,pBADmin,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,0.5213750086492687,0.5419851500538607,1.0,-1.5173687391326574,0.8584905660377359
lso_0011,pJ2007_IcaR,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,0.4843123498075132,-5.766431281063187,1.0,-92.50167872749967,0.3394495412844037
lso_0011,landing_pads,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,-43.90715398713622,0.7618387111379178,1.0,-0.24955170701254328,0.941747572815534
lso_0011,PhlF_Gate,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,-57.483074538851895,0.18436664543322356,1.0,-3.2544904630953346,0.5740740740740741
